409.648 N N48 7
410.527 N N48 7
411.371 N N36 8
412.219 N N48 7
413.047 N N36 8
413.875 N N48 7
414.652 N N36 8
415.391 N N36 8
416.184 N N48 7
416.977 N N48 7
417.754 N N48 7
418.59 N N48 7
419.438 N N48 7
420.289 N N48 7
421.172 N N48 7
422.066 N N48 7
422.961 N N48 7
423.805 N N48 7
424.672 N N48 7
425.543 N N48 7
426.406 N N48 7
427.266 N N48 7
428.098 N N48 7
428.863 N N36 8
429.668 N N48 7
430.457 N N48 7
431.242 N N36 8
432.055 N N48 7
432.883 N N48 7
433.723 N N48 7
434.563 N N36 8
435.414 N N48 7
436.27 N N48 7
437.102 N N36 8
437.961 N N48 7
438.805 N N48 7
439.645 N N48 7
440.449 N N48 7
441.277 N N48 7
442.086 N N48 7
442.898 N N36 8
443.68 N N48 7
444.484 N N48 7
445.289 N N48 7
446.094 N N48 7
446.918 N N48 7
447.77 N N48 7
448.586 N N48 7
449.449 N N48 7
450.309 N N48 7
451.176 N N48 7
451.984 N N36 8
452.82 N N48 7
453.656 N N48 7
454.48 N N48 7
455.262 N N36 8
456.066 N N48 7
456.879 N N48 7
457.695 N N48 7
458.504 N N48 7
459.289 N N36 8
460.102 N N48 7
460.902 N N48 7
461.707 N N48 7
462.48 N N36 8
463.211 N N36 8
463.988 N N48 7
464.754 N N48 7
465.531 N N48 7
466.277 N N36 8
467.07 N N48 7
467.875 N N36 8
468.684 N N48 7
469.438 N N36 8
470.211 N N48 7
470.984 N N48 7
471.742 N N36 8
472.504 N N48 7
473.266 N N48 7
474.027 N N36 8
474.797 N N48 7
475.578 N N48 7
476.379 N N48 7
477.16 N N36 8
477.965 N N48 7
478.781 N N48 7
479.594 N N48 7
480.387 N N36 8
481.199 N N48 7
482.016 N N48 7
482.828 N N48 7
483.637 N N48 7
484.453 N N48 7
485.266 N N48 7
486.031 N N36 8
486.758 N N36 8
487.523 N N48 7
488.262 N N48 7
488.996 N N48 7
489.742 N N48 7
490.52 N N48 7
491.32 N N36 8
492.152 N N48 7
492.996 N N48 7
493.836 N N36 8
494.668 N N48 7
495.496 N N48 7
496.316 N N36 8
497.086 N N48 7
497.887 N N48 7
498.684 N N48 7
499.469 N N36 8
500.301 N N48 7
501.141 N N48 7
501.98 N N48 7
502.809 N N48 7
503.645 N N48 7
504.484 N N48 7
505.313 N N48 7
506.129 N N48 7
506.957 N N48 7
507.785 N N48 7
508.613 N N48 7
509.406 N N48 7
510.223 N N48 7
511.035 N N48 7
511.859 N N48 7
512.672 N N36 8
513.469 N N48 7
514.289 N N48 7
515.121 N N48 7
515.949 N N36 8
516.793 N N48 7
517.641 N N48 7
518.484 N N48 7
519.332 N N48 7
520.176 N N48 7
520.977 N N48 7
521.805 N N48 7
522.625 N N48 7
523.449 N N48 7
524.258 N N48 7
525.043 N N48 7
525.852 N N48 7
526.668 N N48 7
527.434 N N36 8
528.203 N N48 7
528.973 N N48 7
529.723 N N48 7
530.438 N N36 8
531.184 N N48 7
531.926 N N48 7
532.672 N N48 7
533.402 N N36 8
534.145 N N48 7
534.891 N N48 7
535.645 N N48 7
536.398 N N33 9
537.133 N N36 8
537.887 N N48 7
538.637 N N48 7
539.395 N N48 7
540.148 N N36 8
